prompt,weighted_results_image2_preference,weighted_results_image2_coherence,weighted_results_image2_alignment
you are a brave knight with glowing red eyes as the hero,1,0.561,0.971
in a world where with glowing red eyes in a game,0,0.523,0.113
pretend to be with glowing red eyes as the hero,1,0.115,0.404
in a world where in a haunted forest during a storm,0,0.86,0.738
in a world where wearing silver armor during a storm,0,0.723,0.705
tell a story about surrounded by golden mist in a game,0,0.068,0.423
tell a story about crying in the rain during a storm,0,0.708,0.347
suppose you meet with glowing red eyes without fear,0,0.544,0.398
you are a brave knight surrounded by golden mist in a game,1,0.082,0.264
suppose you meet crying in the rain at sunrise,0,0.458,0.205
tell a story about with glowing red eyes with magic,0,0.485,0.483
you are a brave knight with glowing red eyes as the hero,1,0.166,0.269
you are a brave knight surrounded by golden mist at sunrise,1,0.946,0.287
suppose you meet crying in the rain with magic,0,0.85,0.657
you are a brave knight with glowing red eyes as the hero,1,0.669,0.969
in a world where surrounded by golden mist with magic,0,0.462,0.604
suppose you meet surrounded by golden mist without fear,0,0.412,0.077
suppose you meet in a haunted forest as the hero,0,0.651,0.076
you are a brave knight crying in the rain with magic,1,0.545,0.951
suppose you meet surrounded by golden mist without fear,0,0.062,0.297
in a world where in a haunted forest during a storm,0,0.513,0.092
you are a brave knight under purple skies as the hero,1,0.806,0.599
in a world where wearing silver armor as the hero,0,0.459,0.624
suppose you meet under purple skies as the hero,0,0.052,0.649
suppose you meet in a haunted forest at sunrise,0,0.786,0.267
tell a story about in a haunted forest in a game,0,0.201,0.015
suppose you meet with glowing red eyes during a storm,0,0.259,0.965
imagine you are lost with glowing red eyes as the hero,1,0.165,0.251
suppose you meet with glowing red eyes during a storm,0,0.33,0.676
imagine you are lost crying in the rain at sunrise,1,0.757,0.707
tell a story about under purple skies at sunrise,0,0.519,0.61
you are a brave knight under purple skies in a game,1,0.205,0.313
you are a brave knight surrounded by golden mist during a storm,1,0.878,0.271
in a world where under purple skies with magic,0,0.88,0.598
pretend to be in a haunted forest during a storm,0,0.871,0.866
you are a brave knight in a haunted forest as the hero,0,0.239,0.947
tell a story about under purple skies without fear,0,0.451,0.106
you are a brave knight under purple skies as the hero,1,0.985,0.155
you are a brave knight under purple skies without fear,1,0.772,0.945
suppose you meet crying in the rain as the hero,0,0.027,0.737
in a world where with glowing red eyes as the hero,0,0.065,0.883
you are a brave knight wearing silver armor at sunrise,1,0.464,0.203
in a world where surrounded by golden mist at sunrise,0,0.909,0.588
in a world where in a haunted forest with magic,0,0.539,0.701
you are a brave knight under purple skies during a storm,1,0.498,0.68
suppose you meet with glowing red eyes without fear,0,0.105,0.408
pretend to be under purple skies as the hero,1,0.657,0.015
you are a brave knight with glowing red eyes in a game,1,0.822,0.583
tell a story about in a haunted forest without fear,0,0.38,0.253
in a world where crying in the rain without fear,0,0.776,0.45
in a world where crying in the rain with magic,0,0.964,0.958
tell a story about crying in the rain as the hero,0,0.204,0.399
tell a story about surrounded by golden mist with magic,0,0.523,0.84
in a world where with glowing red eyes in a game,0,0.287,0.189
you are a brave knight wearing silver armor in a game,1,0.793,0.672
pretend to be in a haunted forest in a game,0,0.578,0.977
tell a story about with glowing red eyes during a storm,0,0.635,0.102
suppose you meet under purple skies without fear,0,0.798,0.008
pretend to be crying in the rain with magic,1,0.396,0.434
in a world where in a haunted forest in a game,0,0.915,0.093
you are a brave knight wearing silver armor with magic,1,0.533,0.748
you are a brave knight crying in the rain with magic,1,0.158,0.915
tell a story about under purple skies during a storm,0,0.696,0.434
suppose you meet wearing silver armor with magic,0,0.793,0.259
you are a brave knight in a haunted forest at sunrise,0,0.317,0.434
you are a brave knight surrounded by golden mist without fear,1,0.857,0.723
imagine you are lost in a haunted forest without fear,0,0.906,0.009
imagine you are lost crying in the rain at sunrise,1,0.277,0.589
tell a story about surrounded by golden mist at sunrise,0,0.984,0.613
imagine you are lost with glowing red eyes during a storm,1,0.141,0.638
you are a brave knight in a haunted forest without fear,0,0.202,0.242
pretend to be surrounded by golden mist at sunrise,1,0.184,0.714
tell a story about surrounded by golden mist during a storm,0,0.894,0.091
pretend to be under purple skies at sunrise,1,0.654,0.199
you are a brave knight under purple skies with magic,1,0.152,0.877
suppose you meet with glowing red eyes without fear,0,0.44,0.739
in a world where under purple skies as the hero,0,0.615,0.014
suppose you meet surrounded by golden mist at sunrise,0,0.083,0.248
in a world where in a haunted forest during a storm,0,0.882,0.214
imagine you are lost crying in the rain with magic,1,0.804,0.271
in a world where surrounded by golden mist at sunrise,0,0.505,0.248
in a world where with glowing red eyes in a game,0,0.967,0.063
imagine you are lost crying in the rain without fear,1,0.418,0.459
tell a story about under purple skies with magic,0,0.984,0.733
you are a brave knight wearing silver armor in a game,1,0.668,0.607
suppose you meet under purple skies with magic,0,0.635,0.673
suppose you meet crying in the rain with magic,0,0.166,0.081
suppose you meet crying in the rain as the hero,0,0.882,0.951
suppose you meet wearing silver armor at sunrise,0,0.427,0.838
suppose you meet surrounded by golden mist without fear,0,0.162,0.805
tell a story about with glowing red eyes as the hero,0,0.013,0.823
suppose you meet surrounded by golden mist at sunrise,0,0.56,0.933
pretend to be surrounded by golden mist with magic,1,0.527,0.544
in a world where with glowing red eyes in a game,0,0.719,0.2
pretend to be with glowing red eyes at sunrise,1,0.89,0.617
imagine you are lost with glowing red eyes at sunrise,1,0.079,0.743
in a world where crying in the rain during a storm,0,0.731,0.738
pretend to be wearing silver armor during a storm,1,0.187,0.521
pretend to be wearing silver armor without fear,1,0.858,0.068
pretend to be in a haunted forest in a game,0,0.819,0.371
imagine you are lost in a haunted forest with magic,0,0.541,0.921
in a world where with glowing red eyes with magic,0,0.71,0.584
in a world where under purple skies with magic,0,0.314,0.538
you are a brave knight crying in the rain without fear,1,0.471,0.269
in a world where under purple skies with magic,0,0.822,0.368
suppose you meet surrounded by golden mist at sunrise,0,0.459,0.895
pretend to be under purple skies during a storm,1,0.358,0.666
in a world where crying in the rain with magic,0,0.494,0.787
imagine you are lost surrounded by golden mist without fear,1,0.828,0.454
pretend to be under purple skies at sunrise,1,0.335,0.63
suppose you meet surrounded by golden mist at sunrise,0,0.174,0.248
tell a story about surrounded by golden mist during a storm,0,0.712,0.705
pretend to be wearing silver armor in a game,1,0.826,0.428
imagine you are lost with glowing red eyes in a game,1,0.101,0.443
tell a story about under purple skies in a game,0,0.24,0.649
imagine you are lost in a haunted forest in a game,0,0.142,0.936
you are a brave knight with glowing red eyes with magic,1,0.348,0.064
tell a story about in a haunted forest with magic,0,0.45,0.825
suppose you meet in a haunted forest during a storm,0,0.749,0.292
you are a brave knight surrounded by golden mist as the hero,1,0.651,0.444
suppose you meet wearing silver armor with magic,0,0.621,0.022
suppose you meet crying in the rain at sunrise,0,0.352,0.301
pretend to be in a haunted forest at sunrise,0,0.841,0.503
tell a story about with glowing red eyes at sunrise,0,0.471,0.056
pretend to be surrounded by golden mist at sunrise,1,0.979,0.491
imagine you are lost crying in the rain at sunrise,1,0.634,0.927
tell a story about with glowing red eyes in a game,0,0.126,0.105
imagine you are lost wearing silver armor at sunrise,1,0.676,0.764
pretend to be in a haunted forest with magic,0,0.325,0.41
suppose you meet with glowing red eyes with magic,0,0.686,0.655
pretend to be with glowing red eyes in a game,1,0.07,0.26
imagine you are lost wearing silver armor during a storm,1,0.175,0.159
tell a story about with glowing red eyes as the hero,0,0.856,0.16
suppose you meet surrounded by golden mist during a storm,0,0.227,0.07
in a world where wearing silver armor in a game,0,0.837,0.186
you are a brave knight wearing silver armor during a storm,1,0.279,0.664
tell a story about with glowing red eyes without fear,0,0.643,0.882
you are a brave knight with glowing red eyes without fear,1,0.694,0.814
suppose you meet with glowing red eyes without fear,0,0.513,0.685
pretend to be in a haunted forest as the hero,0,0.305,0.11
you are a brave knight under purple skies in a game,1,0.213,0.289
pretend to be with glowing red eyes as the hero,1,0.033,0.31
suppose you meet with glowing red eyes in a game,0,0.304,0.25
in a world where under purple skies as the hero,0,0.653,0.515
imagine you are lost wearing silver armor with magic,1,0.938,0.536
tell a story about under purple skies during a storm,0,0.871,0.357
suppose you meet in a haunted forest with magic,0,0.766,0.354
suppose you meet wearing silver armor during a storm,0,0.788,0.829
pretend to be wearing silver armor at sunrise,1,0.665,0.789
imagine you are lost crying in the rain at sunrise,1,0.26,0.308
pretend to be in a haunted forest with magic,0,0.907,0.914
tell a story about in a haunted forest at sunrise,0,0.671,0.953
suppose you meet with glowing red eyes at sunrise,0,0.56,0.327
imagine you are lost under purple skies during a storm,1,0.111,0.354
pretend to be crying in the rain without fear,1,0.447,0.506
pretend to be surrounded by golden mist during a storm,1,0.46,0.941
imagine you are lost in a haunted forest at sunrise,0,0.865,0.876
imagine you are lost wearing silver armor with magic,1,0.547,0.103
pretend to be crying in the rain as the hero,1,0.38,0.393
pretend to be with glowing red eyes without fear,1,0.977,0.553
suppose you meet with glowing red eyes during a storm,0,0.111,0.503
pretend to be under purple skies in a game,1,0.423,0.194
in a world where under purple skies as the hero,0,0.042,0.859
pretend to be under purple skies without fear,1,0.74,0.677
tell a story about surrounded by golden mist at sunrise,0,0.918,0.838
tell a story about crying in the rain as the hero,0,0.28,0.859
pretend to be wearing silver armor at sunrise,1,0.858,0.748
suppose you meet crying in the rain at sunrise,0,0.292,0.439
suppose you meet under purple skies with magic,0,0.911,0.611
you are a brave knight with glowing red eyes as the hero,1,0.754,0.16
pretend to be under purple skies without fear,1,0.805,0.674
you are a brave knight under purple skies during a storm,1,0.018,0.179
you are a brave knight with glowing red eyes without fear,1,0.963,0.694
pretend to be crying in the rain at sunrise,1,0.727,0.23
suppose you meet wearing silver armor with magic,0,0.305,0.118
pretend to be wearing silver armor without fear,1,0.829,0.165
pretend to be in a haunted forest in a game,0,0.282,0.002
pretend to be under purple skies as the hero,1,0.873,0.719
tell a story about under purple skies during a storm,0,0.113,0.732
imagine you are lost with glowing red eyes during a storm,1,0.704,0.515
in a world where with glowing red eyes with magic,0,0.541,0.161
in a world where crying in the rain as the hero,0,0.097,0.084
you are a brave knight in a haunted forest in a game,0,0.242,0.019
imagine you are lost crying in the rain in a game,1,0.012,0.166
suppose you meet wearing silver armor at sunrise,0,0.469,0.891
suppose you meet under purple skies at sunrise,0,0.301,0.242
imagine you are lost under purple skies at sunrise,1,0.598,0.354
suppose you meet under purple skies with magic,0,0.297,0.105
you are a brave knight under purple skies as the hero,1,0.3,0.222
in a world where with glowing red eyes during a storm,0,0.743,0.519
you are a brave knight wearing silver armor in a game,1,0.048,0.608
pretend to be under purple skies with magic,1,0.903,0.245
pretend to be crying in the rain as the hero,1,0.852,0.058
pretend to be crying in the rain at sunrise,1,0.668,0.391
tell a story about wearing silver armor during a storm,0,0.593,0.234
imagine you are lost surrounded by golden mist without fear,1,0.892,0.22
imagine you are lost in a haunted forest with magic,0,0.185,0.96
pretend to be with glowing red eyes without fear,1,0.079,0.616
you are a brave knight surrounded by golden mist during a storm,1,0.24,0.557
tell a story about wearing silver armor at sunrise,0,0.795,0.416
you are a brave knight crying in the rain as the hero,1,0.035,0.429
tell a story about with glowing red eyes with magic,0,0.583,0.541
you are a brave knight surrounded by golden mist during a storm,1,0.995,0.696
tell a story about with glowing red eyes with magic,0,0.856,0.702
in a world where under purple skies during a storm,0,0.521,0.172
pretend to be wearing silver armor without fear,1,0.064,0.5
tell a story about wearing silver armor with magic,0,0.831,0.412
pretend to be wearing silver armor at sunrise,1,0.599,0.871
imagine you are lost in a haunted forest during a storm,0,0.115,0.631
pretend to be crying in the rain during a storm,1,0.094,0.533
in a world where with glowing red eyes as the hero,0,0.91,0.115
pretend to be wearing silver armor in a game,1,0.669,0.606
in a world where with glowing red eyes during a storm,0,0.829,0.117
imagine you are lost under purple skies at sunrise,1,0.879,0.337
imagine you are lost surrounded by golden mist without fear,1,0.572,0.143
in a world where in a haunted forest as the hero,0,0.517,0.692
imagine you are lost under purple skies during a storm,1,0.43,0.206
in a world where under purple skies with magic,0,0.317,0.392
in a world where crying in the rain as the hero,0,0.435,0.896
you are a brave knight with glowing red eyes with magic,1,0.774,0.204
pretend to be crying in the rain at sunrise,1,0.602,0.508
tell a story about in a haunted forest without fear,0,0.893,0.419
suppose you meet surrounded by golden mist without fear,0,0.443,0.018
imagine you are lost surrounded by golden mist at sunrise,1,0.607,0.793
in a world where in a haunted forest as the hero,0,0.631,0.069
imagine you are lost under purple skies during a storm,1,0.592,0.474
in a world where with glowing red eyes in a game,0,0.703,0.561
in a world where surrounded by golden mist as the hero,0,0.237,0.628
you are a brave knight wearing silver armor with magic,1,0.512,0.689
suppose you meet surrounded by golden mist during a storm,0,0.104,0.253
imagine you are lost with glowing red eyes in a game,1,0.385,0.01
suppose you meet wearing silver armor at sunrise,0,0.488,0.723
in a world where wearing silver armor at sunrise,0,0.652,0.536
pretend to be crying in the rain as the hero,1,0.951,0.836
tell a story about in a haunted forest as the hero,0,0.601,0.821
you are a brave knight in a haunted forest without fear,0,0.744,0.843
suppose you meet under purple skies during a storm,0,0.506,0.485
tell a story about in a haunted forest as the hero,0,0.634,0.334
pretend to be surrounded by golden mist with magic,1,0.071,0.792
imagine you are lost in a haunted forest as the hero,0,0.254,0.451
pretend to be wearing silver armor at sunrise,1,0.362,0.183
suppose you meet surrounded by golden mist with magic,0,0.472,0.855
in a world where wearing silver armor without fear,0,0.046,0.883
you are a brave knight wearing silver armor during a storm,1,0.14,0.466
suppose you meet surrounded by golden mist without fear,0,0.277,0.076
imagine you are lost with glowing red eyes without fear,1,0.972,0.388
imagine you are lost wearing silver armor as the hero,1,0.331,0.804
you are a brave knight surrounded by golden mist during a storm,1,0.482,0.902
you are a brave knight crying in the rain without fear,1,0.196,0.203
tell a story about wearing silver armor during a storm,0,0.611,0.067
imagine you are lost under purple skies during a storm,1,0.281,0.877
you are a brave knight in a haunted forest with magic,0,0.207,0.389
suppose you meet crying in the rain without fear,0,0.517,0.542
imagine you are lost under purple skies without fear,1,0.006,0.968
imagine you are lost wearing silver armor at sunrise,1,0.008,0.067
in a world where in a haunted forest as the hero,0,0.219,0.648
tell a story about crying in the rain as the hero,0,0.037,0.074
suppose you meet wearing silver armor at sunrise,0,0.108,0.375
imagine you are lost crying in the rain as the hero,1,0.339,0.804
tell a story about with glowing red eyes with magic,0,0.803,0.433
suppose you meet surrounded by golden mist during a storm,0,0.572,0.997
you are a brave knight crying in the rain at sunrise,1,0.513,0.559
in a world where under purple skies during a storm,0,0.293,0.321
you are a brave knight wearing silver armor in a game,1,0.932,0.22
you are a brave knight under purple skies at sunrise,1,0.397,0.351
tell a story about with glowing red eyes with magic,0,0.087,0.373
imagine you are lost under purple skies without fear,1,0.617,0.069
imagine you are lost with glowing red eyes in a game,1,0.114,0.37
tell a story about surrounded by golden mist during a storm,0,0.345,0.464
pretend to be crying in the rain in a game,1,0.507,0.723
imagine you are lost surrounded by golden mist as the hero,1,0.874,0.657
tell a story about wearing silver armor without fear,0,0.494,0.709
pretend to be with glowing red eyes during a storm,1,0.702,0.008
pretend to be crying in the rain with magic,1,0.993,0.218
in a world where crying in the rain in a game,0,0.131,0.662
in a world where in a haunted forest without fear,0,0.275,0.484
in a world where crying in the rain during a storm,0,0.395,0.005
tell a story about in a haunted forest with magic,0,0.422,0.804
suppose you meet crying in the rain at sunrise,0,0.411,0.773
suppose you meet under purple skies as the hero,0,0.908,0.548
suppose you meet crying in the rain without fear,0,0.714,0.066
you are a brave knight crying in the rain without fear,1,0.608,0.767
tell a story about crying in the rain during a storm,0,0.309,0.584
imagine you are lost in a haunted forest at sunrise,0,0.824,0.782
tell a story about wearing silver armor in a game,0,0.955,0.752
pretend to be crying in the rain at sunrise,1,0.821,0.803
in a world where under purple skies as the hero,0,0.002,0.518
suppose you meet with glowing red eyes in a game,0,0.636,0.14
you are a brave knight under purple skies during a storm,1,0.051,0.671
imagine you are lost crying in the rain without fear,1,0.258,0.62
pretend to be crying in the rain as the hero,1,0.06,0.742
suppose you meet wearing silver armor as the hero,0,0.604,0.17
tell a story about with glowing red eyes without fear,0,0.687,0.195
imagine you are lost surrounded by golden mist with magic,1,0.114,0.89
imagine you are lost under purple skies at sunrise,1,0.384,0.75
pretend to be surrounded by golden mist in a game,1,0.456,0.908
you are a brave knight wearing silver armor during a storm,1,0.369,0.759
you are a brave knight with glowing red eyes as the hero,1,0.121,0.597
in a world where in a haunted forest without fear,0,0.419,0.654
you are a brave knight wearing silver armor without fear,1,0.751,0.889
suppose you meet under purple skies at sunrise,0,0.071,0.579
in a world where wearing silver armor as the hero,0,0.08,0.632
you are a brave knight surrounded by golden mist in a game,1,0.355,0.156
tell a story about in a haunted forest during a storm,0,0.942,0.474
in a world where under purple skies with magic,0,0.669,0.716
tell a story about with glowing red eyes with magic,0,0.679,0.271
in a world where under purple skies without fear,0,0.362,0.202
tell a story about wearing silver armor with magic,0,0.594,0.314
pretend to be in a haunted forest as the hero,0,0.01,0.242
in a world where surrounded by golden mist without fear,0,0.636,0.215
suppose you meet with glowing red eyes with magic,0,0.913,0.425
imagine you are lost with glowing red eyes at sunrise,1,0.613,0.908
in a world where in a haunted forest with magic,0,0.874,0.507
in a world where with glowing red eyes during a storm,0,0.724,0.188
you are a brave knight with glowing red eyes during a storm,1,0.121,0.077
imagine you are lost crying in the rain with magic,1,0.902,0.696
tell a story about in a haunted forest without fear,0,0.066,0.383
in a world where in a haunted forest as the hero,0,0.534,0.822
imagine you are lost under purple skies with magic,1,0.142,0.66
you are a brave knight under purple skies without fear,1,0.012,0.796
tell a story about under purple skies with magic,0,0.422,0.272
in a world where with glowing red eyes during a storm,0,0.295,0.692
pretend to be wearing silver armor as the hero,1,0.486,0.264
you are a brave knight crying in the rain in a game,1,0.577,0.939
in a world where surrounded by golden mist at sunrise,0,0.044,0.636
pretend to be in a haunted forest at sunrise,0,0.123,0.325
you are a brave knight crying in the rain without fear,1,0.559,0.27
pretend to be under purple skies with magic,1,0.343,0.191
suppose you meet wearing silver armor with magic,0,0.729,0.695
pretend to be under purple skies in a game,1,0.652,0.219
pretend to be surrounded by golden mist as the hero,1,0.846,0.595
tell a story about in a haunted forest in a game,0,0.692,0.265
suppose you meet surrounded by golden mist as the hero,0,0.43,0.662
tell a story about wearing silver armor in a game,0,0.673,0.815
tell a story about crying in the rain at sunrise,0,0.275,0.778
in a world where crying in the rain at sunrise,0,0.306,0.761
in a world where in a haunted forest in a game,0,0.789,0.188
imagine you are lost wearing silver armor without fear,1,0.446,0.088
imagine you are lost with glowing red eyes during a storm,1,0.798,0.699
suppose you meet in a haunted forest in a game,0,0.822,0.368
suppose you meet under purple skies in a game,0,0.858,0.432
pretend to be wearing silver armor at sunrise,1,0.917,0.031
you are a brave knight under purple skies at sunrise,1,0.431,0.26
you are a brave knight crying in the rain as the hero,1,0.319,0.034
pretend to be crying in the rain during a storm,1,0.582,0.879
in a world where in a haunted forest during a storm,0,0.371,0.243
in a world where wearing silver armor with magic,0,0.601,0.557
imagine you are lost crying in the rain in a game,1,0.706,0.039
in a world where with glowing red eyes during a storm,0,0.688,0.667
in a world where in a haunted forest with magic,0,0.375,0.323
you are a brave knight wearing silver armor during a storm,1,0.167,0.898
imagine you are lost under purple skies during a storm,1,0.431,0.888
pretend to be surrounded by golden mist during a storm,1,0.143,0.325
tell a story about under purple skies during a storm,0,0.89,0.901
imagine you are lost in a haunted forest without fear,0,0.346,0.996
imagine you are lost surrounded by golden mist as the hero,1,0.154,0.825
imagine you are lost in a haunted forest during a storm,0,0.025,0.845
tell a story about in a haunted forest in a game,0,0.646,0.249
tell a story about in a haunted forest without fear,0,0.637,0.577
you are a brave knight under purple skies without fear,1,0.341,0.067
pretend to be with glowing red eyes during a storm,1,0.072,0.095
pretend to be in a haunted forest without fear,0,0.41,0.999
imagine you are lost under purple skies at sunrise,1,0.311,0.327
pretend to be with glowing red eyes during a storm,1,0.677,0.748
suppose you meet with glowing red eyes during a storm,0,0.606,0.807
suppose you meet crying in the rain without fear,0,0.365,0.858
suppose you meet wearing silver armor during a storm,0,0.218,0.998
you are a brave knight wearing silver armor without fear,1,0.988,0.241
tell a story about in a haunted forest as the hero,0,0.454,0.04
in a world where crying in the rain with magic,0,0.688,0.411
you are a brave knight wearing silver armor with magic,1,0.141,0.13
in a world where in a haunted forest at sunrise,0,0.486,0.022
you are a brave knight crying in the rain as the hero,1,0.028,0.36
imagine you are lost surrounded by golden mist without fear,1,0.505,0.784
suppose you meet with glowing red eyes at sunrise,0,0.964,0.566
in a world where crying in the rain as the hero,0,0.384,0.313
suppose you meet with glowing red eyes with magic,0,0.039,0.654
tell a story about surrounded by golden mist at sunrise,0,0.031,0.232
tell a story about crying in the rain at sunrise,0,0.388,0.014
suppose you meet with glowing red eyes in a game,0,0.16,0.764
imagine you are lost wearing silver armor during a storm,1,0.023,0.624
you are a brave knight in a haunted forest as the hero,0,0.756,0.762
pretend to be crying in the rain during a storm,1,0.459,0.039
pretend to be in a haunted forest as the hero,0,0.289,0.837
you are a brave knight under purple skies at sunrise,1,0.9,0.62
tell a story about crying in the rain without fear,0,0.116,0.563
tell a story about under purple skies in a game,0,0.956,0.625
pretend to be crying in the rain with magic,1,0.314,0.864
in a world where surrounded by golden mist at sunrise,0,0.888,0.587
you are a brave knight wearing silver armor as the hero,1,0.603,0.581
pretend to be in a haunted forest in a game,0,0.827,0.991
pretend to be under purple skies at sunrise,1,0.984,0.757
imagine you are lost with glowing red eyes with magic,1,0.288,0.442
suppose you meet in a haunted forest at sunrise,0,0.961,0.707
imagine you are lost in a haunted forest in a game,0,0.389,0.389
suppose you meet wearing silver armor with magic,0,0.386,0.229
in a world where crying in the rain during a storm,0,0.34,0.597
imagine you are lost wearing silver armor in a game,1,0.541,0.928
tell a story about under purple skies at sunrise,0,0.154,0.929
in a world where under purple skies during a storm,0,0.554,0.342
imagine you are lost crying in the rain as the hero,1,0.542,0.528
in a world where with glowing red eyes at sunrise,0,0.762,0.212
tell a story about with glowing red eyes without fear,0,0.834,0.996
you are a brave knight surrounded by golden mist with magic,1,0.44,0.981
you are a brave knight with glowing red eyes without fear,1,0.302,0.65
in a world where in a haunted forest without fear,0,0.259,0.804
suppose you meet surrounded by golden mist at sunrise,0,0.195,0.715
pretend to be wearing silver armor at sunrise,1,0.058,0.593
pretend to be in a haunted forest without fear,0,0.342,0.053
imagine you are lost wearing silver armor at sunrise,1,0.27,0.455
suppose you meet with glowing red eyes without fear,0,0.966,0.675
imagine you are lost with glowing red eyes with magic,1,0.558,0.678
you are a brave knight crying in the rain at sunrise,1,0.347,0.373
suppose you meet wearing silver armor at sunrise,0,0.58,0.942
in a world where wearing silver armor as the hero,0,0.139,0.167
you are a brave knight crying in the rain as the hero,1,0.444,0.5
imagine you are lost under purple skies with magic,1,0.626,0.691
you are a brave knight wearing silver armor at sunrise,1,0.489,0.697
pretend to be with glowing red eyes at sunrise,1,0.402,0.649
pretend to be under purple skies without fear,1,0.994,0.275
imagine you are lost crying in the rain at sunrise,1,0.88,0.156
suppose you meet crying in the rain as the hero,0,0.623,0.636
you are a brave knight in a haunted forest with magic,0,0.569,0.599
suppose you meet in a haunted forest at sunrise,0,0.621,0.179
pretend to be wearing silver armor as the hero,1,0.201,0.705
tell a story about under purple skies during a storm,0,0.395,0.455
tell a story about in a haunted forest without fear,0,0.039,0.668
imagine you are lost crying in the rain without fear,1,0.476,0.837
pretend to be with glowing red eyes at sunrise,1,0.543,0.17
suppose you meet under purple skies as the hero,0,0.228,0.019
tell a story about under purple skies as the hero,0,0.964,0.779
you are a brave knight crying in the rain as the hero,1,0.909,0.61
pretend to be in a haunted forest at sunrise,0,0.722,0.7
you are a brave knight surrounded by golden mist at sunrise,1,0.533,0.838
pretend to be with glowing red eyes during a storm,1,0.87,0.803
you are a brave knight with glowing red eyes during a storm,1,0.131,0.961
pretend to be in a haunted forest at sunrise,0,0.791,0.536
you are a brave knight in a haunted forest as the hero,0,0.125,0.488
imagine you are lost wearing silver armor in a game,1,0.794,0.402
suppose you meet in a haunted forest without fear,0,0.276,0.154
in a world where surrounded by golden mist in a game,0,0.877,0.573
tell a story about wearing silver armor in a game,0,0.944,0.277
tell a story about in a haunted forest during a storm,0,0.149,0.921
pretend to be with glowing red eyes at sunrise,1,0.463,0.583
you are a brave knight with glowing red eyes in a game,1,0.981,0.593
in a world where in a haunted forest with magic,0,0.483,0.355
you are a brave knight wearing silver armor without fear,1,0.864,0.052
in a world where with glowing red eyes at sunrise,0,0.589,0.032
you are a brave knight under purple skies as the hero,1,0.375,0.423
